Артикул;Наименование;ТИП;стиль;"МРЦ руб";"цвет арматуры";"цвет абажура";"материал арматуры";"материал абажура";"цвет встройки";"цвет кабеля/цепи";производитель;цоколь;напряжение;"мощность ламп";"степень защиты";"кол-во ламп";диаметр;"диаметр абажура/плафона";ширина;высота;"диапазон регулировки min-max";коллекция;фото;вес;Количество
"LDP 107-200 CHR";"Подвесной светильник Lumina Deco Lobos LDP 107-200 CHR";Светильники;Современный;3900;хром;хром;"металл, стекло";стекло;хром;прозрачный;"Lumina Deco";E27;220-240;40;IP20;1;200;200;;200;"250 - 1400";"LOBOS ";"https://luminadecoshop.ru/22299/podvesnoj-svetilnik-lumina-deco-lobos-ldp-107-200-chr.jpg;https://luminadecoshop.ru/24751/podvesnoj-svetilnik-lumina-deco-lobos-ldp-107-200-chr.jpg;https://luminadecoshop.ru/24752/podvesnoj-svetilnik-lumina-deco-lobos-ldp-107-200-chr.jpg;https://luminadecoshop.ru/24753/podvesnoj-svetilnik-lumina-deco-lobos-ldp-107-200-chr.jpg";3;0
"LDW 11336 GY";"Бра Lumina Deco Zagallo LDW 11336 GY";Бра;"Индустриальный, Лофт";6050;"бронза, дымчатый серый";"хром, серый";металл;стекло;черный;;"Lumina Deco";E27;220-240;40;IP20;1;180;180;;250;;"ZAGALLO ";"https://luminadecoshop.ru/22342/bra-lumina-deco-zagallo-ldw-11336-gy.jpg;https://luminadecoshop.ru/24754/bra-lumina-deco-zagallo-ldw-11336-gy.jpg;https://luminadecoshop.ru/24755/bra-lumina-deco-zagallo-ldw-11336-gy.jpg";3;0
"LDP 1218-1 GY+BK";"Подвесной светильник Lumina Deco Rico LDP 1218-1 GY+BK";Светильники;"Современный, Лофт";8000;"дымчатый серый";"темно серый";металл;стекло;черный;черный;"Lumina Deco";E27;220-240;40;IP20;1;140;140;;260;"300 - 1200";RICO;"https://luminadecoshop.ru/24759/podvesnoj-svetilnik-lumina-deco-rico-ldp-1218-1-gybk.jpg;https://luminadecoshop.ru/24760/podvesnoj-svetilnik-lumina-deco-rico-ldp-1218-1-gybk.jpg;https://luminadecoshop.ru/24761/podvesnoj-svetilnik-lumina-deco-rico-ldp-1218-1-gybk.jpg;https://luminadecoshop.ru/24762/podvesnoj-svetilnik-lumina-deco-rico-ldp-1218-1-gybk.jpg";2;84
"LDP 6829 MD";"Подвесной светильник Lumina Deco Antilla LDP 6829 MD";Светильники;"Современный, Лофт";8600;бронза;"прозрачный, бронза";металл;стекло;;черный;"Lumina Deco";E27;220-240;40;IP20;1;130;130;;500;"500 - 1400";ANTILLA;"https://luminadecoshop.ru/22323/podvesnoj-svetilnik-lumina-deco-antilla-ldp-6829-md.jpg;https://luminadecoshop.ru/24763/podvesnoj-svetilnik-lumina-deco-antilla-ldp-6829-md.jpg;https://luminadecoshop.ru/24764/podvesnoj-svetilnik-lumina-deco-antilla-ldp-6829-md.jpg;https://luminadecoshop.ru/24765/podvesnoj-svetilnik-lumina-deco-antilla-ldp-6829-md.jpg;https://luminadecoshop.ru/24766/podvesnoj-svetilnik-lumina-deco-antilla-ldp-6829-md.jpg;https://luminadecoshop.ru/24767/podvesnoj-svetilnik-lumina-deco-antilla-ldp-6829-md.jpg";3;0
"LDP 1218-1 WT+WT";"Подвесной светильник Lumina Deco Rico LDP 1218-1 WT+WT";Светильники;"Современный, Лофт";6800;белый;белый;"металл, стекло";стекло;белый;белый;"Lumina Deco";E27;220-240;40;IP20;1;140;140;;260;"300 - 1200";RICO;"https://luminadecoshop.ru/24768/podvesnoj-svetilnik-lumina-deco-rico-ldp-1218-1-wtwt.jpg;https://luminadecoshop.ru/24769/podvesnoj-svetilnik-lumina-deco-rico-ldp-1218-1-wtwt.jpg;https://luminadecoshop.ru/24770/podvesnoj-svetilnik-lumina-deco-rico-ldp-1218-1-wtwt.jpg";2;0
"LDP 1217-1 GY+BK";"Подвесной светильник Lumina Deco Gato LDP 1217-1 GY+BK";Светильники;"Современный, Лофт";10650;черный;"темно серый";металл;стекло;черный;черный;"Lumina Deco";E27;220-240;40;IP20;1;200;200;;320;"350 - 1200";GATO;"https://luminadecoshop.ru/24793/podvesnoj-svetilnik-lumina-deco-gato-ldp-1217-1-gybk.jpg;https://luminadecoshop.ru/24794/podvesnoj-svetilnik-lumina-deco-gato-ldp-1217-1-gybk.jpg;https://luminadecoshop.ru/24795/podvesnoj-svetilnik-lumina-deco-gato-ldp-1217-1-gybk.jpg;https://luminadecoshop.ru/24796/podvesnoj-svetilnik-lumina-deco-gato-ldp-1217-1-gybk.jpg";2,5;0
"LDP 1217-1 WT+WT";"Подвесной светильник Lumina Deco Gato LDP 1217-1 WT+WT";Светильники;"Современный, Лофт";9850;белый;белый;"металл, стекло";стекло;белый;белый;"Lumina Deco";E27;220-240;40;IP20;1;200;200;;320;"350 - 1200";GATO;"https://luminadecoshop.ru/24797/podvesnoj-svetilnik-lumina-deco-gato-ldp-1217-1-wtwt.jpg;https://luminadecoshop.ru/24798/podvesnoj-svetilnik-lumina-deco-gato-ldp-1217-1-wtwt.jpg;https://luminadecoshop.ru/24799/podvesnoj-svetilnik-lumina-deco-gato-ldp-1217-1-wtwt.jpg";2,5;0
"LDP 1216-1 GY+BK";"Подвесной светильник Lumina Deco Floril LDP 1216-1 GY+BK";Светильники;"Современный, Лофт";12400;черный;"темно серый";металл;стекло;черный;черный;"Lumina Deco";E27;220-240;40;IP20;1;300;300;;300;"350 - 1200";FLORI;"https://luminadecoshop.ru/24771/podvesnoj-svetilnik-lumina-deco-floril-ldp-1216-1-gybk.jpg;https://luminadecoshop.ru/24772/podvesnoj-svetilnik-lumina-deco-floril-ldp-1216-1-gybk.jpg;https://luminadecoshop.ru/24773/podvesnoj-svetilnik-lumina-deco-floril-ldp-1216-1-gybk.jpg";2,5;0
"LDP 1216-1 WT+WT";"Подвесной светильник Lumina Deco Floril LDP 1216-1 WT+WT";Светильники;"Современный, Лофт";11400;белый;белый;металл;стекло;белый;белый;"Lumina Deco";E27;220-240;40;IP20;1;300;300;;300;"350 - 1200";FLORI;"https://luminadecoshop.ru/24774/podvesnoj-svetilnik-lumina-deco-floril-ldp-1216-1-wtwt.jpg;https://luminadecoshop.ru/24775/podvesnoj-svetilnik-lumina-deco-floril-ldp-1216-1-wtwt.jpg;https://luminadecoshop.ru/24776/podvesnoj-svetilnik-lumina-deco-floril-ldp-1216-1-wtwt.jpg";2,5;0
"LDP 1219-200 WT+GD";"Подвесной светильник Lumina Deco Orito LDP 1219-200 WT+GD";Светильники;Современный;4500;"белый, золотой";белый;металл;стекло;белый;черный;"Lumina Deco";E27;220-240;40;IP20;1;200;200;;280;"300 - 1300";ORITO;"https://luminadecoshop.ru/24777/podvesnoj-svetilnik-lumina-deco-orito-ldp-1219-200-wtgd.jpg;https://luminadecoshop.ru/24781/podvesnoj-svetilnik-lumina-deco-orito-ldp-1219-200-wtgd.jpg;https://luminadecoshop.ru/24782/podvesnoj-svetilnik-lumina-deco-orito-ldp-1219-200-wtgd.jpg";2;11
