Артикул;Наименование;ТИП;стиль;"МРЦ руб";"цвет арматуры";"цвет абажура";"материал арматуры";"материал абажура";"цвет встройки";"цвет кабеля/цепи";производитель;цоколь;напряжение;"мощность ламп";"степень защиты";"кол-во ламп";диаметр;"диаметр абажура/плафона";ширина;высота;"диапазон регулировки min-max";коллекция;фото;вес;Количество
"LDP 11337 GD";"Подвесной светильник Lumina Deco Bessa LDP 11337 GD";Светильники;"Лофт, Модерн";7000;"золотой, прозрачный";"золотой, прозрачный";"металл, стекло";"металл, стекло";золотой;прозрачный;"Lumina Deco";E27;220-240;40;IP20;1;200;200;;350;"400 - 1300";BESSA;"https://luminadecoshop.ru/23977/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg;https://luminadecoshop.ru/28042/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg;https://luminadecoshop.ru/28044/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg;https://luminadecoshop.ru/28046/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg;https://luminadecoshop.ru/28048/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg;https://luminadecoshop.ru/28050/podvesnoj-svetilnik-lumina-deco-bessa-ldp-11337-gd.jpg";"4 ";20
"LDP 108-300 BK";"Подвесной светильник Lumina Deco Ibiza LDP 108-300 BK";Светильники;Современный;3900;черный;прозрачный;"стекло, металл";стекло;черный;черный;"Lumina Deco";E27;220-240;40;IP20;1;300;300;;320;"350 - 1500";"LDP 108 (BK)";"https://luminadecoshop.ru/16769/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-bk.jpg;https://luminadecoshop.ru/19658/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-bk.jpg;https://luminadecoshop.ru/21326/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-bk.jpg;https://luminadecoshop.ru/21327/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-bk.jpg;https://luminadecoshop.ru/24042/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-bk.jpg;https://luminadecoshop.ru/24124/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-bk.jpg;https://luminadecoshop.ru/24174/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-bk.jpg;https://luminadecoshop.ru/24501/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-bk.jpg";"4 ";0
"LDW 6802 PR";"Бра Lumina Deco Navarro LDW 6802 PR";Бра;"Индустриальный, Лофт";6450;бронза;прозрачный;"стекло, металл";стекло;черный;;"Lumina Deco";E27;220-240;40;IP20;1;;180;180;250;;NAVARRO;"https://luminadecoshop.ru/28251/bra-lumina-deco-navarro-ldw-6802-pr.jpg;https://luminadecoshop.ru/28278/bra-lumina-deco-navarro-ldw-6802-pr.jpg";3;12
"LDP 108-300 GD";"Подвесной светильник Lumina Deco Ibiza LDP 108-300 GD";Светильники;Современный;5600;золотой;"золотой, прозрачный";"стекло, металл";стекло;серебряный;прозрачный;"Lumina Deco";E27;220-240;40;IP20;1;300;300;;320;"350 - 1500";IBIZA;"https://luminadecoshop.ru/16646/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/18133/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/21877/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/21878/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/21879/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/23180/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/23181/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/23186/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/24067/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg;https://luminadecoshop.ru/25870/podvesnoj-svetilnik-lumina-deco-ibiza-ldp-108-300-gd.jpg";"4 ";0
"LDW 6801-1 MD+PR";"Бра Lumina Deco Nubi LDW 6801-1 MD+PR";Бра;"Индустриальный, Лофт";6300;бронза;прозрачный;"стекло, металл";стекло;черный;;"Lumina Deco";E27;220-240;40;IP20;1;;180;180;250;да;NUBI;"https://luminadecoshop.ru/25621/bra-lumina-deco-nubi-ldw-6801-1-mdpr.jpg;https://luminadecoshop.ru/28281/bra-lumina-deco-nubi-ldw-6801-1-mdpr.jpg";2;0
"LDW 66249-2 BK";"Бра Lumina Deco Denica LDW 66249-2 BK";Бра;Классический;18900;"черный, прозрачный";черный;"стекло, хрусталь, ткань";;;;"Lumina Deco";E14;220-240;40;IP20;2;;130;300;380;да;DENICA;"https://luminadecoshop.ru/16975/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/17150/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/21094/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/21095/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/21096/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/22301/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/24728/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/24779/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/24884/bra-lumina-deco-denica-ldw-66249-2-bk.jpg;https://luminadecoshop.ru/24946/bra-lumina-deco-denica-ldw-66249-2-bk.jpg";5;0
"LDP 173-260 CHR";"Подвесной светильник Lumina Deco Brico LDP 173-260 CHR";Светильники;Лофт;10400;хром;прозрачный;"стекло, металл";стекло;хром;черный;"Lumina Deco";E27;220-240;40;IP20;1;260;260;;250;"300 - 1300";BRICO;"https://luminadecoshop.ru/28361/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-chr.jpg;https://luminadecoshop.ru/28362/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-chr.jpg;https://luminadecoshop.ru/28363/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-chr.jpg;https://luminadecoshop.ru/28364/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-chr.jpg;https://luminadecoshop.ru/28365/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-chr.jpg";"4 ";2
"LDW 66247-2 WT+CHR";"Бра Lumina Deco Glamour LDW 66247-2 WT+CHR";Бра;Классический;8000;"белый, хром";;"хрусталь, металл, ткань";ткань;хром;;"Lumina Deco";E14;220-240;40;IP20;2;;150;300;380;да;GLAMOUR;"https://luminadecoshop.ru/16547/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/18012/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/21204/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/21886/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/21887/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/21888/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/21889/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/23112/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/23119/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/23125/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/23126/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/23132/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/25617/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg;https://luminadecoshop.ru/25698/bra-lumina-deco-glamour-ldw-66247-2-wtchr.jpg";5;13
"LDP 160-12 BK";"Подвесной светильник Lumina Deco Zodiak LDP 160-12 BK";Светильники;Современный;35350;черный;прозрачный;"стекло, металл";стекло;черный;черный;"Lumina Deco";E27;220-240;40;IP20;"10 и выше";900;130;-;400;"600 - 900";Zodiak;"https://luminadecoshop.ru/16551/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/19376/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/20553/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/23889/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/25255/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/25266/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/25282/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg;https://luminadecoshop.ru/25804/podvesnoj-svetilnik-lumina-deco-zodiak-ldp-160-12-bk.jpg";"7 ";7
"LDP 173-260 MD";"Подвесной светильник Lumina Deco Brico LDP 173-260 MD";Светильники;Лофт;10400;бронза;;стекло;стекло;бронза;черный;"Lumina Deco";E27;220-240;40;IP20;1;260;260;;250;"300 - 1300";"LOFT ";"https://luminadecoshop.ru/28366/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-md.jpg;https://luminadecoshop.ru/28367/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-md.jpg;https://luminadecoshop.ru/28368/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-md.jpg;https://luminadecoshop.ru/28369/podvesnoj-svetilnik-lumina-deco-brico-ldp-173-260-md.jpg";"4 ";0
"LDW 9268-1 GD";"Бра Lumina Deco Dominni LDW 9268-1 GD";Бра;Классический;5500;золотой;;"металл, хрусталь, пластик";металл;золотой;;"Lumina Deco";E14;220-240;40;IP20;1;;150;250;380;;DOMINNI;"https://luminadecoshop.ru/28275/bra-lumina-deco-dominni-ldw-9268-1-gd.jpg;https://luminadecoshop.ru/28347/bra-lumina-deco-dominni-ldw-9268-1-gd.jpg;https://luminadecoshop.ru/28348/bra-lumina-deco-dominni-ldw-9268-1-gd.jpg";3;2
"LDW 9268-1 CHR";"Бра Lumina Deco Dominni LDW 9268-1 CHR";Бра;Классический;5500;"белый, хром";белый;"металл, хрусталь, пластик";"металл, пластик";хром;;"Lumina Deco";E14;220-240;40;IP20;1;;150;250;380;;DOMINNI;"https://luminadecoshop.ru/28274/bra-lumina-deco-dominni-ldw-9268-1-chr.jpg;https://luminadecoshop.ru/28345/bra-lumina-deco-dominni-ldw-9268-1-chr.jpg;https://luminadecoshop.ru/28346/bra-lumina-deco-dominni-ldw-9268-1-chr.jpg";3;2
"LDP 704 CHR";"Подвесной светильник Lumina Deco Loffi LDP 704 CHR";Светильники;Индустриальный;19100;хром;;"металл, стекло";металл;хром;хром;"Lumina Deco";E27;220-240;40;IP20;1;400;400;;580;"600 - 1600";LOFFI;"https://luminadecoshop.ru/23481/podvesnoj-svetilnik-lumina-deco-loffi-ldp-704-chr.jpg;https://luminadecoshop.ru/23501/podvesnoj-svetilnik-lumina-deco-loffi-ldp-704-chr.jpg;https://luminadecoshop.ru/23503/podvesnoj-svetilnik-lumina-deco-loffi-ldp-704-chr.jpg;https://luminadecoshop.ru/23898/podvesnoj-svetilnik-lumina-deco-loffi-ldp-704-chr.jpg;https://luminadecoshop.ru/25655/podvesnoj-svetilnik-lumina-deco-loffi-ldp-704-chr.jpg";9;0
"LDW 9267-1 GD";"Бра Lumina Deco Finezzia LDW 9267-1 GD";Бра;Классический;5500;"золотой, кремовый";кремовый;"металл, хрусталь, пластик";"металл, пластик";золотой;;"Lumina Deco";E14;220-240;40;IP20;1;;150;250;380;;"FINEZZIA ";"https://luminadecoshop.ru/22257/bra-lumina-deco-finezzia-ldw-9267-1-gd.jpg;https://luminadecoshop.ru/22267/bra-lumina-deco-finezzia-ldw-9267-1-gd.jpg;https://luminadecoshop.ru/22277/bra-lumina-deco-finezzia-ldw-9267-1-gd.jpg;https://luminadecoshop.ru/25696/bra-lumina-deco-finezzia-ldw-9267-1-gd.jpg";3;4
"LDW 9267-1 CHR";"Бра Lumina Deco Finezzia LDW 9267-1 CHR";Бра;Классический;5500;"белый, хром";белый;"металл, хрусталь, ткань";ткань;хром;;"Lumina Deco";E14;220-240;40;IP20;1;;150;250;380;;"FINEZZIA ";"https://luminadecoshop.ru/22337/bra-lumina-deco-finezzia-ldw-9267-1-chr.jpg;https://luminadecoshop.ru/22340/bra-lumina-deco-finezzia-ldw-9267-1-chr.jpg;https://luminadecoshop.ru/22346/bra-lumina-deco-finezzia-ldw-9267-1-chr.jpg;https://luminadecoshop.ru/22355/bra-lumina-deco-finezzia-ldw-9267-1-chr.jpg;https://luminadecoshop.ru/22363/bra-lumina-deco-finezzia-ldw-9267-1-chr.jpg;https://luminadecoshop.ru/22371/bra-lumina-deco-finezzia-ldw-9267-1-chr.jpg";3;3
"LDP 706 CHR";"Подвесной светильник Lumina Deco Braggi LDP 706 CHR";Светильники;Лофт;27450;хром;хром;"металл, стекло";металл;хром;"прозрачный, хром";"Lumina Deco";E27;220-240;40;IP20;1;400;400;;480;"500 - 1500";BRAGGI;"https://luminadecoshop.ru/23358/podvesnoj-svetilnik-lumina-deco-braggi-ldp-706-chr.jpg;https://luminadecoshop.ru/23362/podvesnoj-svetilnik-lumina-deco-braggi-ldp-706-chr.jpg;https://luminadecoshop.ru/23901/podvesnoj-svetilnik-lumina-deco-braggi-ldp-706-chr.jpg;https://luminadecoshop.ru/25834/podvesnoj-svetilnik-lumina-deco-braggi-ldp-706-chr.jpg";"7,5 ";0
"LDW 9012-2";"Бра Lumina Deco Rifossa LDW 9012-2";Бра;Классический;6800;"кремовый, бронза";кремовый;"металл, хрусталь, ткань";ткань;золотой;;"Lumina Deco";E14;220-240;40;IP20;2;;150;280;360;;RIFOSSA;"https://luminadecoshop.ru/22417/bra-lumina-deco-rifossa-ldw-9012-2.jpg;https://luminadecoshop.ru/25584/bra-lumina-deco-rifossa-ldw-9012-2.jpg;https://luminadecoshop.ru/25693/bra-lumina-deco-rifossa-ldw-9012-2.jpg";"4 ";0
"LDP 706 MD";"Подвесной светильник Lumina Deco Braggi LDP 706 MD";Светильники;Лофт;27450;бронза;бронза;"металл, стекло";металл;бронза;"прозрачный, бронза";"Lumina Deco";E27;220-240;40;IP20;1;400;400;;480;"500 - 1500";BRAGGI;"https://luminadecoshop.ru/23210/podvesnoj-svetilnik-lumina-deco-braggi-ldp-706-md.jpg;https://luminadecoshop.ru/23215/podvesnoj-svetilnik-lumina-deco-braggi-ldp-706-md.jpg;https://luminadecoshop.ru/23217/podvesnoj-svetilnik-lumina-deco-braggi-ldp-706-md.jpg;https://luminadecoshop.ru/24063/podvesnoj-svetilnik-lumina-deco-braggi-ldp-706-md.jpg;https://luminadecoshop.ru/25817/podvesnoj-svetilnik-lumina-deco-braggi-ldp-706-md.jpg";"7,5 ";2
"LDW 8903-1";"Бра Lumina Deco Negrio LDW 8903-1";Бра;Классический;5500;"черный, хром";черный;"металл, хрусталь, ткань";ткань;хром;-;"Lumina Deco";E14;220-240;40;IP20;1;-;140;250;400;;NEGRIO;"https://luminadecoshop.ru/22465/bra-lumina-deco-negrio-ldw-8903-1.jpg;https://luminadecoshop.ru/22468/bra-lumina-deco-negrio-ldw-8903-1.jpg;https://luminadecoshop.ru/22472/bra-lumina-deco-negrio-ldw-8903-1.jpg;https://luminadecoshop.ru/22486/bra-lumina-deco-negrio-ldw-8903-1.jpg;https://luminadecoshop.ru/25689/bra-lumina-deco-negrio-ldw-8903-1.jpg";3;11
"LDP 707-1 CHR";"Подвесной светильник Lumina Deco Alcantare LDP 707-1 CHR";Светильники;Лофт;21600;хром;хром;металл;металл;хром;"прозрачный, хром";"Lumina Deco";E27;220-240;40;IP20;1;350;350;;480;"500 - 1800";ALCANTARE;"https://luminadecoshop.ru/22490/podvesnoj-svetilnik-lumina-deco-alcantare-ldp-707-1-chr.jpg;https://luminadecoshop.ru/23591/podvesnoj-svetilnik-lumina-deco-alcantare-ldp-707-1-chr.jpg;https://luminadecoshop.ru/23899/podvesnoj-svetilnik-lumina-deco-alcantare-ldp-707-1-chr.jpg;https://luminadecoshop.ru/25752/podvesnoj-svetilnik-lumina-deco-alcantare-ldp-707-1-chr.jpg";"7,5 ";0
"LDP 707-1 MD";"Подвесной светильник Lumina Deco Alcantare LDP 707-1 MD";Светильники;Лофт;21600;бронза;бронза;"металл, стекло";металл;бронза;"прозрачный, бронза";"Lumina Deco";E27;220-240;40;IP20;1;350;350;;480;"500 - 1800";ALCANTARE;"https://luminadecoshop.ru/23428/podvesnoj-svetilnik-lumina-deco-alcantare-ldp-707-1-md.jpg;https://luminadecoshop.ru/23429/podvesnoj-svetilnik-lumina-deco-alcantare-ldp-707-1-md.jpg;https://luminadecoshop.ru/23900/podvesnoj-svetilnik-lumina-deco-alcantare-ldp-707-1-md.jpg;https://luminadecoshop.ru/25767/podvesnoj-svetilnik-lumina-deco-alcantare-ldp-707-1-md.jpg";"7,5 ";0
"LDP 8358 SL";"Подвесной светильник Lumina Deco Cornella LDP 8358 SL";Светильники;Современный;5600;серебряный;;металл;металл;серебряный;прозрачный;"Lumina Deco";E27;220-240;40;IP20;1;360;360;;300;"350 - 1100";CORNELLA;"https://luminadecoshop.ru/22527/podvesnoj-svetilnik-lumina-deco-cornella-ldp-8358-sl.jpg;https://luminadecoshop.ru/22532/podvesnoj-svetilnik-lumina-deco-cornella-ldp-8358-sl.jpg;https://luminadecoshop.ru/23969/podvesnoj-svetilnik-lumina-deco-cornella-ldp-8358-sl.jpg;https://luminadecoshop.ru/25917/podvesnoj-svetilnik-lumina-deco-cornella-ldp-8358-sl.jpg";3;0
"LDP 708 BK";"Подвесной светильник Lumina Deco Botti LDP 708 BK";Светильники;Лофт;23800;черный;черный;"металл, стекло";металл;черный;черный;"Lumina Deco";E27;220-240;40;IP20;1;420;420;;480;"500 - 1500";BOTTI;"https://luminadecoshop.ru/23385/podvesnoj-svetilnik-lumina-deco-botti-ldp-708-bk.jpg;https://luminadecoshop.ru/23387/podvesnoj-svetilnik-lumina-deco-botti-ldp-708-bk.jpg;https://luminadecoshop.ru/23390/podvesnoj-svetilnik-lumina-deco-botti-ldp-708-bk.jpg;https://luminadecoshop.ru/24062/podvesnoj-svetilnik-lumina-deco-botti-ldp-708-bk.jpg;https://luminadecoshop.ru/25740/podvesnoj-svetilnik-lumina-deco-botti-ldp-708-bk.jpg";"7,5 ";0
"LDW 8033-1 SL";"Бра Lumina Deco Bellisica LDW 8033-1 SL";Бра;Классический;5300;"серебряный, хром";серебряный;"металл, хрусталь, ткань";ткань;хром;;"Lumina Deco";E14;220-240;40;IP20;1;;140;250;380;;BELLISICA;"https://luminadecoshop.ru/22543/bra-lumina-deco-bellisica-ldw-8033-1-sl.jpg;https://luminadecoshop.ru/22549/bra-lumina-deco-bellisica-ldw-8033-1-sl.jpg;https://luminadecoshop.ru/22552/bra-lumina-deco-bellisica-ldw-8033-1-sl.jpg;https://luminadecoshop.ru/22553/bra-lumina-deco-bellisica-ldw-8033-1-sl.jpg;https://luminadecoshop.ru/22568/bra-lumina-deco-bellisica-ldw-8033-1-sl.jpg;https://luminadecoshop.ru/22573/bra-lumina-deco-bellisica-ldw-8033-1-sl.jpg";3;0
"LDW 8033-1 BK";"Бра Lumina Deco Bellisica LDW 8033-1 BK";Бра;Классический;5300;"черный, хром";черный;"металл, хрусталь, ткань";ткань;хром;;"Lumina Deco";E14;220-240;40;IP20;1;;140;250;380;;BELLISICA;"https://luminadecoshop.ru/22575/bra-lumina-deco-bellisica-ldw-8033-1-bk.jpg;https://luminadecoshop.ru/22581/bra-lumina-deco-bellisica-ldw-8033-1-bk.jpg;https://luminadecoshop.ru/22584/bra-lumina-deco-bellisica-ldw-8033-1-bk.jpg;https://luminadecoshop.ru/22587/bra-lumina-deco-bellisica-ldw-8033-1-bk.jpg";3;0
"LDW 7019-4 PR";"Бра Lumina Deco Gusto LDW 7019-4 PR";Бра;Современный;9900;"прозрачный, хром";прозрачный;"металл, стекло, хрусталь";стекло;хром;;"Lumina Deco";G4;220-240;20;IP20;4;;;300;150;;GUSTO;"https://luminadecoshop.ru/22590/bra-lumina-deco-gusto-ldw-7019-4-pr.jpg;https://luminadecoshop.ru/22592/bra-lumina-deco-gusto-ldw-7019-4-pr.jpg;https://luminadecoshop.ru/22596/bra-lumina-deco-gusto-ldw-7019-4-pr.jpg;https://luminadecoshop.ru/25633/bra-lumina-deco-gusto-ldw-7019-4-pr.jpg";"4 ";0
"LDP 708 CHR";"Подвесной светильник Lumina Deco Botti LDP 708 CHR";Светильники;Лофт;23800;хром;хром;"металл, стекло";металл;хром;"прозрачный, хром";"Lumina Deco";E27;220-240;40;IP20;1;420;420;;480;"500 - 1500";BOTTI;"https://luminadecoshop.ru/22608/podvesnoj-svetilnik-lumina-deco-botti-ldp-708-chr.jpg;https://luminadecoshop.ru/22610/podvesnoj-svetilnik-lumina-deco-botti-ldp-708-chr.jpg;https://luminadecoshop.ru/22615/podvesnoj-svetilnik-lumina-deco-botti-ldp-708-chr.jpg;https://luminadecoshop.ru/22616/podvesnoj-svetilnik-lumina-deco-botti-ldp-708-chr.jpg;https://luminadecoshop.ru/25738/podvesnoj-svetilnik-lumina-deco-botti-ldp-708-chr.jpg";"7,5 ";0
"LDP 710-300 BK+CHR";"Подвесной светильник Lumina Deco Ettore LDP 710-300 BK+CHR";Светильники;Лофт;16300;черный;черный;"металл, стекло";"металл, стекло";хром;хром;"Lumina Deco";E27;220-240;40;IP20;1;330;330;;380;"500 - 1500";ETORRE;"https://luminadecoshop.ru/22328/podvesnoj-svetilnik-lumina-deco-ettore-ldp-710-300-bkchr.jpg;https://luminadecoshop.ru/22631/podvesnoj-svetilnik-lumina-deco-ettore-ldp-710-300-bkchr.jpg;https://luminadecoshop.ru/22634/podvesnoj-svetilnik-lumina-deco-ettore-ldp-710-300-bkchr.jpg;https://luminadecoshop.ru/23902/podvesnoj-svetilnik-lumina-deco-ettore-ldp-710-300-bkchr.jpg";"5,5 ";0
"LDW 7018-4 BK";"Бра Lumina Deco Disposa LDW 7018-4 BK";Бра;Современный;9900;черный;черный;"металл, стекло, хрусталь";стекло;хром;;"Lumina Deco";G4;220-240;20;IP20;4;;;300;150;;DISPOSA;"https://luminadecoshop.ru/22343/bra-lumina-deco-disposa-ldw-7018-4-bk.jpg;https://luminadecoshop.ru/22639/bra-lumina-deco-disposa-ldw-7018-4-bk.jpg;https://luminadecoshop.ru/23099/bra-lumina-deco-disposa-ldw-7018-4-bk.jpg;https://luminadecoshop.ru/23109/bra-lumina-deco-disposa-ldw-7018-4-bk.jpg;https://luminadecoshop.ru/25626/bra-lumina-deco-disposa-ldw-7018-4-bk.jpg";"4 ";11
"LDP 710-300 CHR";"Подвесной светильник Lumina Deco Ettore LDP 710-300 CHR";Светильники;Лофт;16300;хром;хром;"металл, стекло";"металл, стекло";хром;"прозрачный, хром";"Lumina Deco";E27;220-240;40;IP20;1;330;330;;380;"400 - 1500";ETTORE;"https://luminadecoshop.ru/22339/podvesnoj-svetilnik-lumina-deco-ettore-ldp-710-300-chr.jpg;https://luminadecoshop.ru/23469/podvesnoj-svetilnik-lumina-deco-ettore-ldp-710-300-chr.jpg;https://luminadecoshop.ru/23473/podvesnoj-svetilnik-lumina-deco-ettore-ldp-710-300-chr.jpg;https://luminadecoshop.ru/23903/podvesnoj-svetilnik-lumina-deco-ettore-ldp-710-300-chr.jpg";"5,5 ";0
"LDW 7018-4 PR";"Бра Lumina Deco Disposa LDW 7018-4 PR";Бра;Современный;9900;"прозрачный, хром";прозрачный;"металл, стекло, хрусталь";стекло;хром;;"Lumina Deco";G4;220-240;20;IP20;4;;;300;150;;DISPOSA;"https://luminadecoshop.ru/22341/bra-lumina-deco-disposa-ldw-7018-4-pr.jpg;https://luminadecoshop.ru/22345/bra-lumina-deco-disposa-ldw-7018-4-pr.jpg;https://luminadecoshop.ru/23079/bra-lumina-deco-disposa-ldw-7018-4-pr.jpg;https://luminadecoshop.ru/23089/bra-lumina-deco-disposa-ldw-7018-4-pr.jpg;https://luminadecoshop.ru/25632/bra-lumina-deco-disposa-ldw-7018-4-pr.jpg";"4 ";15
"LDW 6041-2";"Бра Lumina Deco Bellardo LDW 6041-2";Бра;Современный;7400;белый;белый;стекло;стекло;белый;;"Lumina Deco";E14;220-240;40;IP20;2;;100;280;380;да;"BELLARDO ";"https://luminadecoshop.ru/22693/bra-lumina-deco-bellardo-ldw-6041-2.jpg;https://luminadecoshop.ru/22695/bra-lumina-deco-bellardo-ldw-6041-2.jpg;https://luminadecoshop.ru/22701/bra-lumina-deco-bellardo-ldw-6041-2.jpg;https://luminadecoshop.ru/22717/bra-lumina-deco-bellardo-ldw-6041-2.jpg;https://luminadecoshop.ru/25697/bra-lumina-deco-bellardo-ldw-6041-2.jpg";4,5;0
"LDW 1726-2W MD";"Бра Lumina Deco Alessia LDW 1726-2W MD";Бра;Классический;11850;бронза;;"металл, хрусталь, ткань";ткань;бронза;;"Lumina Deco";E27;220-240;40;IP20;2;;150;300;400;;ALESSIA;"https://luminadecoshop.ru/22730/bra-lumina-deco-alessia-ldw-1726-2w-md.jpg;https://luminadecoshop.ru/22734/bra-lumina-deco-alessia-ldw-1726-2w-md.jpg;https://luminadecoshop.ru/25692/bra-lumina-deco-alessia-ldw-1726-2w-md.jpg";4,5;8
"LDP 710-300 MD";"Подвесной светильник Lumina Deco Ettore LDP 710-300 MD";Светильники;Лофт;27250;бронза;бронза;"металл, стекло";металл;бронза;"прозрачный, бронза";"Lumina Deco";E27;220-240;40;IP20;1;330;330;;380;"400 - 1500";ETTORE;"https://luminadecoshop.ru/22338/podvesnoj-svetilnik-lumina-deco-ettore-ldp-710-300-md.jpg;https://luminadecoshop.ru/23544/podvesnoj-svetilnik-lumina-deco-ettore-ldp-710-300-md.jpg;https://luminadecoshop.ru/23548/podvesnoj-svetilnik-lumina-deco-ettore-ldp-710-300-md.jpg;https://luminadecoshop.ru/23551/podvesnoj-svetilnik-lumina-deco-ettore-ldp-710-300-md.jpg;https://luminadecoshop.ru/23904/podvesnoj-svetilnik-lumina-deco-ettore-ldp-710-300-md.jpg";"5,5 ";0
"LDW 1158-2 WT";"Бра Lumina Deco Federrica LDW 1158-2 WT";Бра;Классический;10750;"белый, хром";белый;"металл, хрусталь, ткань";ткань;хром;;"Lumina Deco";E27;220-240;40;IP20;2;;150;400;450;;FEDERRICA;"https://luminadecoshop.ru/28271/bra-lumina-deco-federrica-ldw-1158-2-wt.jpg;https://luminadecoshop.ru/28339/bra-lumina-deco-federrica-ldw-1158-2-wt.jpg;https://luminadecoshop.ru/28340/bra-lumina-deco-federrica-ldw-1158-2-wt.jpg";"4 ";20
